Exit,Highway,County,Total_Accidents,Avg_Latitude,Avg_Longitude,County_old,Predicted_Accidents,Ratio
10,22,10,337,33.7736813056,-117.953273353,16,392.7614,0.858027290869
0-,22,10,424,33.7805123585,-117.965187524,16,469.3422,0.903392023986
05,22,10,433,33.7828602079,-118.015485404,16,497.6822,0.870033125557
133,41,12,95,36.8265122105,-119.787463368,18,96.9251,0.980138271717
126A,41,12,61,36.7178685246,-119.775264918,18,69.1235,0.882478462462
127A,41,12,58,36.7339127586,-119.763389483,18,70.3868,0.824018139765
130,41,12,137,36.7830263504,-119.779134818,18,126.831,1.08017755911
128,41,12,172,36.7593189535,-119.767327442,18,151.627,1.13436261352
129,41,12,149,36.7599197315,-119.771100671,18,153.631,0.969856344097
131,41,12,191,36.8147282723,-119.771202723,18,162.411,1.17602871727
124,41,12,337,36.5517030267,-119.77395635,18,233.3135,1.44440848901
125,41,12,30,36.715303,-119.786793667,18,54.5125,0.550332492548
132,41,12,96,36.801176875,-119.766005312,18,118.6541,0.80907444412
134,41,12,72,36.8334211111,-119.775971528,18,94.2964,0.763549827989
127B,41,12,120,36.7105271667,-119.750648083,18,88.8882,1.35001046258
126B,41,12,10,36.701613,-119.747834,18,43.4024,0.230402005419
15,50,13,237,38.530971308,-121.276965823,19,345.8167,0.685334166916
13,50,13,337,38.5104903264,-121.312408635,19,390.5689,0.862843918192
54,50,14,38,38.7440260526,-120.643460263,20,48.5335,0.782964344216
06C,50,13,1865,38.5479711903,-121.458430815,19,1250.9426,1.49087576041
06A,50,13,233,38.5476992275,-121.482839056,19,596.1351,0.39085100005
49B,50,14,90,38.7039443333,-120.806923556,20,81.0515,1.1104051128
37,50,14,73,38.6583453425,-120.903647123,20,80.2548,0.909602914717
04A,50,13,1105,38.5400912127,-121.499708235,19,965.2021,1.14483795673
39,50,14,32,38.6164365625,-120.867701562,20,53.9797,0.592815447289
41,50,14,54,38.6930035185,-120.880993519,20,56.7132,0.952159285669
43,50,14,80,38.712821,-120.85929125,20,74.0671,1.08010169157
08B,50,13,397,38.5372727204,-121.427986096,19,502.2668,0.79041656745
11,50,13,552,38.493763279,-121.325565471,19,480.0685,1.14983590883
35,50,14,121,38.6480381818,-120.916385124,20,97.7649,1.23766300584
57,50,14,31,38.6932512903,-120.586932903,20,42.4997,0.729416913531
09,50,13,847,38.5328349469,-121.40413961,19,673.7044,1.25722794745
05,50,13,986,38.5394673732,-121.484206014,19,822.1233,1.19933348197
30,50,14,88,38.6186894318,-121.034942386,20,101.3949,0.86789375008
08A,50,13,331,38.5420135347,-121.436918671,19,434.6157,0.761592367694
40,50,14,36,38.6842388889,-120.923494722,20,55.3317,0.650621614734
13,57,2,374,33.9891890642,-117.846659465,8,429.9148,0.86993981133
22D,57,2,243,34.0892867901,-117.81843963,8,250.4333,0.970318244419
15,57,2,890,34.0013363258,-117.83325936,8,737.1037,1.20742847987
21,57,2,19,34.0688010526,-117.813546842,8,103.3574,0.183828153572
24A,57,2,118,34.104680678,-117.81574678,8,141.0241,0.836736415974
0-,57,2,230,33.9711702609,-117.846057304,8,330.1202,0.696715923473
22C,57,2,210,34.0719362381,-117.805198952,8,212.1607,0.98981573873
